Classes,Definition,Questions
ENTITY,food,What is the only vegetable that starts with `` z '' ?
ENTITY,dismed,What is a fear of machinery ?
HUMAN,ind,Who awarded The Flying Fickle Finger of Fate ?
LOCATION,city,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?"
ENTITY,sport,What hide-and-seek game is played around a tin can ?
LOCATION,city,What is the largest city in Texas ?
HUMAN,ind,"What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?"
ENTITY,food,What drink is the best thirst-quencher ?
LOCATION,other loc,Where can I get a map of Prussia on the Internet ?
ENTITY,event,What was the longest war in U.S. history ?
DESCRIPTION,definition,What is a `` node '' in computer terms ?
LOCATION,country,What are the five richest countries in the world ?
LOCATION,other loc,Where is McCarren Airport ?
HUMAN,ind,What are the top boy names in the U.S. ?
NUMERIC,count,How many tiles did the Space Shuttle Columbia lose on its second flight ?
NUMERIC,count,How many teaspoons make up a tablespoon ?
HUMAN,ind,Who was the lyricist and who was the composer between Gilbert and Sullivan ?
HUMAN,ind,Who was the lawyer for Randy Craft ?
DESCRIPTION,description of st,What is the origin of the word Marijuana ?
HUMAN,ind,Who was the 3rd president of the United States ?
ENTITY,body,What organ contains the islands of Langerhans ?
HUMAN,ind,Name Dick Tracy 's two children .
ENTITY,dismed,What is a fear of points ?
NUMERIC,perc,What fraction of a beaver 's life is spent swimming ?
DESCRIPTION,manner,How can SQL queries be improved ?
ENTITY,food,What is the most radioactive food ?
HUMAN,group,What was the previous name for the Commonwealth ?
NUMERIC,money,How much will gas be taxed in California by the year 2000 ?
HUMAN,ind,Who gave King Arthur the round table ?
LOCATION,state,What state in the United States covers the largest area ?
DESCRIPTION,manner,How do you make a computer chip ?
HUMAN,ind,Who became president of the U.S. in 1789 ?
HUMAN,ind,Who wrote `` The Scarlet Letter '' ?
HUMAN,ind,Who did Sara Jane Moore try to assassinate ?
DESCRIPTION,definition,What is Linux ?
NUMERIC,count,How many dots make up the symbol for `` because '' ?
HUMAN,title,What title did Shevardnadze have during the Soviet era ?
ENTITY,food,What did the pyramid-builders of Egypt mainly eat ?
ENTITY,word,What 's the international radio code word for the letter F ?
ENTITY,other entity,What are the 28 tenses in the English language ?
HUMAN,ind,Which king signed the Magna Carta ?
ENTITY,creative,What software offers inventors use of CAD-like design ?
DESCRIPTION,definition,What is agent orange ?
HUMAN,ind,Name the child left on a doorstep at the beginning of Gasoline Alley .
NUMERIC,count,How many zip codes are there in the U.S. ?
ENTITY,animal,"In Beetle Bailey , can you name Sarge 's dog ?"
DESCRIPTION,reason,Why shouldn 't you remove a bee stinger with tweezers ?
HUMAN,group,Which college did Dikembe Mutombo play basketball for ?
DESCRIPTION,reason,Why did Europeans first come to Australia and Oceania ?
DESCRIPTION,description of st,What did the Confederate Constitution say about slavery ?
NUMERIC,period,How long does it take the Milky Way Galaxy to make one revolution ?
NUMERIC,count,How many people own pets ?
LOCATION,other loc,What web sites are linked to the Report on Genesis Eldercare ?
ENTITY,dismed,What is a fear of lice ?
NUMERIC,period,How long does it take different materials to decompose ?
NUMERIC,count,How many colors are there in a rainbow ?
HUMAN,ind,What was Darth Vader 's son named ?
DESCRIPTION,reason,What problems contributed to the high failure rate of Plains farmers in the 1800s ?
HUMAN,ind,What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?
LOCATION,other loc,Where is McCarren Airport located ?
DESCRIPTION,manner,How effective are condoms in protecting against AIDS ?
LOCATION,other loc,"What part of Britain comprises the Highlands , Central Lowlands , and Southern Uplands ?"
NUMERIC,count,How many Marx Brothers were there ?
NUMERIC,distance,How tall is the Matterhorn ?
LOCATION,country,What country is proud to claim Volcano National Park ?
NUMERIC,date,When was Babe Ruth born ?
HUMAN,ind,Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?
ENTITY,creative,What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?
LOCATION,other loc,What direction do most baseball pitchers pitch toward ?
NUMERIC,count,How many Beanie Baby sites are there ?
DESCRIPTION,manner,How can I call a friend in another country when I do not know the telephone number ?
ENTITY,food,What is 55 times sweeter than cane sugar ?
LOCATION,other loc,Where are diamonds mined ?
DESCRIPTION,manner,How do they get Teflon to stick to the pan ?
NUMERIC,money,How much money did the Marcos steal from their country ?
HUMAN,ind,Who makes the `` cross-your-heart bra '' ?
HUMAN,ind,Who is Archie Bunker 's son-in-law ?
HUMAN,group,What company produces Spumante ?
DESCRIPTION,description of st,What is the origin of music ?
ABBREVIATION,exp,What does `` B.Y.O.B. '' mean ?
HUMAN,group,What major airline has the best safety record in the world ?
HUMAN,ind,What President became Chief Justice after his presidency ?
NUMERIC,count,How many innings constitute an official baseball game ?
LOCATION,city,What city has a newspaper called The Plain Dealer ?
LOCATION,state,What U.S. state boasts Leif Ericson Park ?
NUMERIC,count,How many flavors does Baskin & Robbins offer ?
HUMAN,ind,Who was chief engineer of the Starship Enterprise ?
DESCRIPTION,manner,How does crosstalk relate to InSb thickness in infrared detectors ?
HUMAN,ind,What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?
ENTITY,vehicle,Which type of submarine was bought recently by South Korea ?
NUMERIC,count,How much in miles is a ten K run ?
NUMERIC,date,When was Beethoven born ?
HUMAN,ind,Who is the most sexy celebrity ?
HUMAN,ind,What detective lives on Punchbowl Hill and has 11 children ?
LOCATION,other loc,Where did the ukulele originate ?
HUMAN,ind,Rotary engines used to be made by whom ?
DESCRIPTION,definition,What does seccession mean ?
HUMAN,ind,Who portrayed the title character in the film The Day of the Jackal ?
LOCATION,other loc,What is the name of the gulf between Sweden and Finland ?
HUMAN,ind,Who was the first X-Man to die in battle ?
DESCRIPTION,description of st,What will the weather be today ?
HUMAN,ind,Who is the President of Ghana ?
ENTITY,other entity,Which sex is denied voting rights in Kuwait ?
LOCATION,country,What two countries is Andorra nestled between ?
NUMERIC,period,How long ago was the Roe vs. Wade decision by the Supreme Court ?
HUMAN,group,What terrorist group was headed by Donald DeFreeze ?
LOCATION,mount,What are the four largest mountain ranges in the continental United States ?
NUMERIC,other num,What is the size of the student body at the University of Massachusetts in Amherst ?
DESCRIPTION,manner,How can I determine the radius of an ellipse ?
HUMAN,ind,Who starred in the movie The War of the Worlds ?
NUMERIC,count,How many different kinds of ice cream are there ?
HUMAN,ind,"What actor , who had greatest fame on TV , became the father of triplets ?"
LOCATION,other loc,What is the Homelite Inc. home page ?
DESCRIPTION,definition,What is the Golden Rule ?
ENTITY,creative,What is a movie that Kevin Costner made about Sioux Indians ?
ENTITY,other entity,What were millions of kids wearing on their heads in 1955 ?
DESCRIPTION,manner,How does color affect a person psychologically ?
NUMERIC,code,What is Columbia Tristar 's phone number ?
ENTITY,animal,What type of animal is the easiest kept pet there is ?
DESCRIPTION,definition,What is sound ?
ENTITY,animal,"What was the name of the horse that fell on Queen Elizabeth , Prince Albert 's wife ?"
DESCRIPTION,description of st,What are the current immigration laws in US ?
ENTITY,word,What were the five opening words on Ben Casey ?
DESCRIPTION,reason,Why does it say on children 's cough syrup not to drive while using this medication ?
ENTITY,color,What hair color can I use to just cover a little gray ?
LOCATION,other loc,Where was Tesla born ?
HUMAN,title,What does Larry King do for a living ?
HUMAN,ind,Who shot Lee Harvey Oswald ?
NUMERIC,date,When did Jaco Pastorius die ?
ENTITY,sport,What blood sport features a movement called a veronica ?
ENTITY,term,What was spawned the term `` MiG Alley '' ?
LOCATION,other loc,What 's the most common street name in America ?
DESCRIPTION,description of st,What is the difference between khaki and chino ?
DESCRIPTION,description of st,What is the origin of infinity ?
ENTITY,substance,What alloy do copper and tin form ?
ENTITY,plant,What plants are found in an estuary ?
DESCRIPTION,description of st,What are the side effects of mevacor ?
LOCATION,other loc,What are the top 5 tallest buildings in the world ?
DESCRIPTION,reason,Colin Powell is best known for what achievement ?
ENTITY,product,What was the name of the computer in ` 2001 : A Space Odyssey ' ?
HUMAN,ind,Who portrayed Renaud in Casablanca ?
LOCATION,country,What country has problems with hooligans ?
LOCATION,other loc,What planet did Percival Lovell discover ?
NUMERIC,count,How often are brain cells replaced ?
NUMERIC,money,How much did Mercury spend on advertising in 1993 ?
ENTITY,vehicle,What kind of rocket launched the Surveyor spacecraft ?
LOCATION,country,What country contains the westernmost point in South America ?
ENTITY,other entity,What did Abolitionists try to end ?
NUMERIC,count,What 's the American dollar equivalent for 8 pounds in the U.K. ?
DESCRIPTION,reason,Why should cigarette smoking be banned ?
NUMERIC,date,What year did Charles Dicken die ?
ENTITY,creative,What D.H. Lawrence novel was originally titled Tenderness ?
HUMAN,group,What rock group raised a ruckus at the White House by singing American Woman ?
ENTITY,dismed,What is a fear of night or darkness ?
DESCRIPTION,description of st,What is the origin of the rock band Led Zeppelin 's name ?
DESCRIPTION,manner,How was Lawrence
DESCRIPTION,manner,How do I know if I am pregnant ?
NUMERIC,date,When did the last Americans leave Vietnam ?
HUMAN,ind,What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?
HUMAN,group,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?"
HUMAN,description human,Who was Confucius ?
ENTITY,food,What snack food has ridges ?
ENTITY,sport,What 's the most popular four-player game of all time ?
DESCRIPTION,definition,What 's the meaning of the name Tatiana ?
NUMERIC,count,How many people died when the Estonia sank in 1994 ?
LOCATION,city,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?
NUMERIC,count,How many colors are there in a rainbow ?
LOCATION,other loc,What is the habitat of the chickadee ?
ENTITY,dismed,What drug is often used to treat AIDS patients ?
ENTITY,other entity,Which of the five senses develops first ?
DESCRIPTION,description of st,Where did the name root beer come from ?
LOCATION,city,What city 's the kickoff point for climbs of Mount Everest ?
NUMERIC,money,What is the average salary of a paleontologist ?
LOCATION,other loc,Where is the largest post office building in the world ?
HUMAN,ind,Who is currently the most popular singer in the world ?
ENTITY,animal,Who was the first animal into space ?
ENTITY,techmeth,What is the correct way to mount a roll of toilet paper ?
ENTITY,creative,What Jules Verne novel features scientists held captive in the submarine Nautilus ?
DESCRIPTION,reason,Why is Rush 's 2112 called 2112 ?
DESCRIPTION,description of st,What 's the state motto of California ?
DESCRIPTION,reason,What function does homeostasis have on the existence of an organism ?
HUMAN,group,"What company started out making pies , and wound up manufacturing plastic throwing toys ?"
ABBREVIATION,exp,What does the acronym CPR mean ?
ENTITY,term,The Jewish alphabet is called what ?
DESCRIPTION,definition,What are the Baltic States ?
NUMERIC,count,How many endangered species are there in the world ?
LOCATION,city,Which large U.S. city had the highest murder rate for 1988 ?
HUMAN,ind,"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?"
HUMAN,ind,Who invented basketball ?
DESCRIPTION,manner,How has TV affected our society ?
NUMERIC,date,When was the last major eruption of Mount St. Helens ?
HUMAN,group,What was the name of Humphrey Bogart 's club in Casablanca ?
HUMAN,group,What U.S. Government agency registers trademarks ?
